Time;Afficheur Pont de Fil;Bld Charles de Gaulle;Boulevard Heurteloup;Cher à Vélo - St Avertin;Fondettes - itinéraire #9;ObservaLoire - Rochecorbon;Passerelle Fournier;Passerelle Ile Balzac Cyclist;Point 0;Point 0 #2;Pont d'Arcole #1 Pont d'Arcole;Pont d'Arcole #2;Pont de Fil Cyclist;Pont Mirabeau EST;Pont Mirabeau OUEST;Pont Mirabeau TOTAL;Pont Napoléon EST;Pont Napoléon OUEST;Pont Napoléon TOTAL;Pont Saint Sauveur EST;Pont Saint Sauveur OUEST;Pont Saint Sauveur TOTAL;Pont Sanitas EST;Pont Sanitas OUEST;Pont Sanitas TOTAL;Pont Tramway;Pont Wilson;Pont Wilson Est;Pont Wilson Ouest;Quai de la Loire;Rue d'Entraigues;Rue de Buffon;Rue de Joué (Chambray-les-Tours);Rue Edouard Vaillant;Rue Émile Baudot
Jan 1, 2022 12:00 AM;4;0;2;0;0;2;;;;5;;1;3;0;0;0;2;0;2;0;1;1;4;8;12;4;24;11;13;3;1;5;;1;
Jan 1, 2022 1:00 AM;14;2;4;0;0;0;;;;9;;0;18;2;1;3;2;4;6;2;1;3;5;3;8;4;15;8;7;6;0;4;;2;
Jan 1, 2022 2:00 AM;18;1;5;0;0;2;;;;8;;0;22;1;0;1;0;1;1;2;1;3;6;2;8;1;21;10;11;2;5;2;;5;
Jan 1, 2022 3:00 AM;9;1;1;0;0;2;;;;6;;2;9;2;0;2;5;3;8;0;2;2;6;1;7;1;16;4;12;0;6;8;;4;
Jan 1, 2022 4:00 AM;12;0;3;0;0;0;;;;1;;2;11;3;1;4;3;3;6;2;2;4;4;3;7;2;9;3;6;0;6;8;;6;
Jan 1, 2022 5:00 AM;6;2;5;0;0;0;;;;2;;4;7;1;0;1;1;1;2;0;1;1;3;1;4;0;16;4;12;0;3;3;;5;
Jan 1, 2022 6:00 AM;8;0;2;0;1;0;;;;2;;1;7;0;0;0;1;0;1;3;1;4;0;1;1;0;16;2;14;1;2;3;;5;
Jan 1, 2022 7:00 AM;1;0;3;0;0;0;;;;1;;1;3;0;1;1;2;3;5;2;3;5;3;3;6;1;7;1;6;1;1;0;;2;
Jan 1, 2022 8:00 AM;8;3;5;0;2;2;;;;1;;2;5;0;2;2;6;0;6;1;1;2;3;5;8;1;9;3;6;2;2;2;;7;
Jan 1, 2022 9:00 AM;12;4;4;3;8;7;;;;5;;4;11;1;5;6;3;2;5;2;7;9;5;6;11;3;13;1;12;4;4;6;;12;
Jan 1, 2022 10:00 AM;32;3;13;4;1;17;;;;5;;4;34;2;1;3;16;6;22;2;7;9;11;12;23;7;36;10;26;18;7;6;;7;
Jan 1, 2022 11:00 AM;44;8;22;15;8;14;;;;15;;5;44;3;4;7;22;17;39;7;10;17;22;12;34;16;51;9;42;17;8;20;;18;
Jan 1, 2022 12:00 PM;47;7;11;12;6;41;;;;8;;6;51;8;3;11;18;20;38;9;12;21;22;16;38;19;63;8;55;22;16;28;;15;
Jan 1, 2022 1:00 PM;59;6;14;19;5;30;;;;12;;9;66;2;2;4;15;21;36;12;9;21;15;6;21;12;49;4;45;25;28;19;;24;
