Period;June 29, 2022 12:00 AM -> May 22, 2023 2:00 AM;

Time;Passerelle Ile Balzac Cyclist;
Wed Jun 29, 2022;313;
Thu Jun 30, 2022;221;
Fri Jul 1, 2022;537;
Sat Jul 2, 2022;510;
Sun Jul 3, 2022;468;
Mon Jul 4, 2022;368;
Tue Jul 5, 2022;455;
Wed Jul 6, 2022;403;
Thu Jul 7, 2022;365;
Fri Jul 8, 2022;383;
Sat Jul 9, 2022;352;
Sun Jul 10, 2022;430;
Mon Jul 11, 2022;381;
Tue Jul 12, 2022;435;
Wed Jul 13, 2022;364;
Thu Jul 14, 2022;217;
Fri Jul 15, 2022;357;
Sat Jul 16, 2022;319;
Sun Jul 17, 2022;396;
Mon Jul 18, 2022;347;
Tue Jul 19, 2022;386;
Wed Jul 20, 2022;372;
Thu Jul 21, 2022;465;
Fri Jul 22, 2022;250;
Sat Jul 23, 2022;325;
Sun Jul 24, 2022;400;
Mon Jul 25, 2022;322;
Tue Jul 26, 2022;440;
Wed Jul 27, 2022;398;
Thu Jul 28, 2022;474;
Fri Jul 29, 2022;331;
Sat Jul 30, 2022;296;
Sun Jul 31, 2022;368;
Mon Aug 1, 2022;454;
Tue Aug 2, 2022;345;
Wed Aug 3, 2022;328;
Thu Aug 4, 2022;316;
Fri Aug 5, 2022;403;
Sat Aug 6, 2022;393;
Sun Aug 7, 2022;479;
Mon Aug 8, 2022;360;
Tue Aug 9, 2022;350;
Wed Aug 10, 2022;391;
Thu Aug 11, 2022;330;
Fri Aug 12, 2022;319;
Sat Aug 13, 2022;253;
Sun Aug 14, 2022;320;
Mon Aug 15, 2022;302;
Tue Aug 16, 2022;259;
Wed Aug 17, 2022;385;
Thu Aug 18, 2022;398;
Fri Aug 19, 2022;410;
Sat Aug 20, 2022;436;
Sun Aug 21, 2022;428;
Mon Aug 22, 2022;399;
Tue Aug 23, 2022;443;
Wed Aug 24, 2022;455;
Thu Aug 25, 2022;350;
Fri Aug 26, 2022;410;
Sat Aug 27, 2022;337;
Sun Aug 28, 2022;467;
Mon Aug 29, 2022;427;
Tue Aug 30, 2022;409;
