Period;June 30, 2016 12:00 AM -> May 22, 2023 2:14 PM;

Time;Pont de Fil Cyclist;
Thu Jun 30, 2016;475;
Fri Jul 1, 2016;1059;
Sat Jul 2, 2016;1080;
Sun Jul 3, 2016;1297;
Mon Jul 4, 2016;1053;
Tue Jul 5, 2016;1256;
Wed Jul 6, 2016;1453;
Thu Jul 7, 2016;1131;
Fri Jul 8, 2016;1196;
Sat Jul 9, 2016;1163;
Sun Jul 10, 2016;916;
Mon Jul 11, 2016;1097;
Tue Jul 12, 2016;1083;
Wed Jul 13, 2016;1009;
Thu Jul 14, 2016;1078;
Fri Jul 15, 2016;1146;
Sat Jul 16, 2016;1144;
Sun Jul 17, 2016;1275;
Mon Jul 18, 2016;1003;
Tue Jul 19, 2016;1118;
Wed Jul 20, 2016;1022;
Thu Jul 21, 2016;1190;
Fri Jul 22, 2016;1178;
Sat Jul 23, 2016;1068;
Sun Jul 24, 2016;1338;
Mon Jul 25, 2016;1128;
Tue Jul 26, 2016;1237;
Wed Jul 27, 2016;1180;
Thu Jul 28, 2016;1203;
Fri Jul 29, 2016;1097;
Sat Jul 30, 2016;1204;
Sun Jul 31, 2016;1314;
Mon Aug 1, 2016;1138;
Tue Aug 2, 2016;1000;
Wed Aug 3, 2016;1092;
Thu Aug 4, 2016;709;
Fri Aug 5, 2016;1060;
Sat Aug 6, 2016;1024;
Sun Aug 7, 2016;1313;
Mon Aug 8, 2016;1016;
Tue Aug 9, 2016;1057;
Wed Aug 10, 2016;994;
Thu Aug 11, 2016;1111;
Fri Aug 12, 2016;1408;
Sat Aug 13, 2016;1409;
Sun Aug 14, 2016;1607;
Mon Aug 15, 2016;1145;
Tue Aug 16, 2016;1069;
Wed Aug 17, 2016;1046;
Thu Aug 18, 2016;947;
Fri Aug 19, 2016;704;
Sat Aug 20, 2016;996;
Sun Aug 21, 2016;1372;
Mon Aug 22, 2016;1189;
Tue Aug 23, 2016;1299;
Wed Aug 24, 2016;1081;
Thu Aug 25, 2016;1176;
Fri Aug 26, 2016;1137;
Sat Aug 27, 2016;1022;
Sun Aug 28, 2016;1263;
Mon Aug 29, 2016;1171;
Tue Aug 30, 2016;1411;
Wed Aug 31, 2016;1501;
Thu Sep 1, 2016;1598;
Fri Sep 2, 2016;1423;
Sat Sep 3, 2016;1487;
Sun Sep 4, 2016;1561;
Mon Sep 5, 2016;1313;
Tue Sep 6, 2016;1543;
Wed Sep 7, 2016;1664;
Thu Sep 8, 2016;1527;
Fri Sep 9, 2016;1588;
Sat Sep 10, 2016;1393;
Sun Sep 11, 2016;1506;
Mon Sep 12, 2016;1363;
Tue Sep 13, 2016;1477;
Wed Sep 14, 2016;1070;
Thu Sep 15, 2016;1218;
Fri Sep 16, 2016;972;
Sat Sep 17, 2016;1034;
Sun Sep 18, 2016;1488;
Mon Sep 19, 2016;1260;
Tue Sep 20, 2016;1389;
Wed Sep 21, 2016;1635;
Thu Sep 22, 2016;1516;
Fri Sep 23, 2016;1476;
Sat Sep 24, 2016;1352;
Sun Sep 25, 2016;1477;
Mon Sep 26, 2016;1316;
Tue Sep 27, 2016;1488;
Wed Sep 28, 2016;1515;
Thu Sep 29, 2016;1538;
Fri Sep 30, 2016;897;
Sat Oct 1, 2016;921;
Sun Oct 2, 2016;1436;
Mon Oct 3, 2016;1334;
Tue Oct 4, 2016;1378;
Wed Oct 5, 2016;1458;
Thu Oct 6, 2016;1388;
Fri Oct 7, 2016;1254;
Sat Oct 8, 2016;1099;
Sun Oct 9, 2016;1185;
Mon Oct 10, 2016;1105;
Tue Oct 11, 2016;1276;
Wed Oct 12, 2016;1273;
Thu Oct 13, 2016;893;
Fri Oct 14, 2016;1016;
Sat Oct 15, 2016;1033;
Sun Oct 16, 2016;1443;
Mon Oct 17, 2016;1035;
Tue Oct 18, 2016;1134;
Wed Oct 19, 2016;1216;
Thu Oct 20, 2016;1064;
Fri Oct 21, 2016;1062;
Sat Oct 22, 2016;820;
