Period;January 1, 2016 12:00 AM -> May 11, 2023 9:00 AM;

;Time;Weather icon;Average Temperature (°C);Rainfall (mm);Afficheur Pont de FilAfficheur Pont de Fil;
;2016-01-01 00:00:00;Overcast;8;0.4;;
;2016-01-02 00:00:00;Overcast;9.5;1.1;;
;2016-01-03 00:00:00;Moderate rain;8;18.3;;
;2016-01-04 00:00:00;Patchy rain possible;6;2.9;;
;2016-01-05 00:00:00;Thundery outbreaks possible;7;0;;
;2016-01-06 00:00:00;Light rain shower;8;0.9;;
;2016-01-07 00:00:00;Heavy rain;9.5;19.9;;
;2016-01-08 00:00:00;Light drizzle;8;0.3;;
;2016-01-09 00:00:00;Light drizzle;8.5;3.9;;
;2016-01-10 00:00:00;Moderate or heavy rain shower;7.5;17.7;;
;2016-01-11 00:00:00;Moderate rain;8.5;8.2;;
;2016-01-12 00:00:00;Light rain shower;6.5;1.1;;
;2016-01-13 00:00:00;Cloudy;5.5;0.1;;
;2016-01-14 00:00:00;Light drizzle;5;0.5;;
;2016-01-15 00:00:00;Patchy sleet possible;3;0.3;;
;2016-01-16 00:00:00;Partly cloudy;3;0;;
;2016-01-17 00:00:00;Overcast;3.5;0;;
;2016-01-18 00:00:00;Heavy snow;0.5;10.8;;
;2016-01-19 00:00:00;Overcast;2.5;0.7;;
;2016-01-20 00:00:00;Overcast;2;0;;
;2016-01-21 00:00:00;Sunny;2.5;0;;
;2016-01-22 00:00:00;Light rain;5;3.3;;
;2016-01-23 00:00:00;Partly cloudy;7;0;;
;2016-01-24 00:00:00;Overcast;8.5;0;;
;2016-01-25 00:00:00;Sunny;9.5;0;;
;2016-01-26 00:00:00;Overcast;10.5;0;;
;2016-01-27 00:00:00;Overcast;11;0.2;;
;2016-01-28 00:00:00;Moderate rain;8;12.4;;
;2016-01-29 00:00:00;Overcast;6.5;0.2;;
;2016-01-30 00:00:00;Moderate rain;9.5;13.4;;
;2016-01-31 00:00:00;Light rain;11;11.5;;
;2016-02-01 00:00:00;Patchy light drizzle;11;0.9;;
;2016-02-02 00:00:00;Light rain;10;2.5;;
;2016-02-03 00:00:00;Patchy rain possible;6;1.4;;
;2016-02-04 00:00:00;Light drizzle;6;1.2;;
;2016-02-05 00:00:00;Fog;10;0.2;;
;2016-02-06 00:00:00;Cloudy;10.5;0;;
;2016-02-07 00:00:00;Patchy rain possible;8;1.9;;
;2016-02-08 00:00:00;Moderate or heavy rain shower;10;9.7;;
;2016-02-09 00:00:00;Moderate or heavy rain in area with thunder;8;14.1;;
;2016-02-10 00:00:00;Patchy rain possible;5;0.2;;
;2016-02-11 00:00:00;Patchy rain possible;5;0.7;;
;2016-02-12 00:00:00;Light rain shower;7;9;;
;2016-02-13 00:00:00;Moderate or heavy rain shower;7.5;8.8;;
;2016-02-14 00:00:00;Light drizzle;6;4.8;;
;2016-02-15 00:00:00;Light rain shower;3.5;0.4;;
;2016-02-16 00:00:00;Sunny;3;0;;
;2016-02-17 00:00:00;Overcast;3;0;;
;2016-02-18 00:00:00;Light sleet;2;7;;
;2016-02-19 00:00:00;Patchy rain possible;4.5;0.4;;
;2016-02-20 00:00:00;Light drizzle;9;2.1;;
;2016-02-21 00:00:00;Overcast;11;0.2;;
;2016-02-22 00:00:00;Light rain shower;10.5;0.5;;
;2016-02-23 00:00:00;Light rain;8;7;;
;2016-02-24 00:00:00;Moderate rain;5.5;17.7;;
;2016-02-25 00:00:00;Cloudy;4.5;0.1;;
;2016-02-26 00:00:00;Overcast;4.5;0;;
;2016-02-27 00:00:00;Sunny;4.5;0;;
;2016-02-28 00:00:00;Cloudy;3.5;0;;
;2016-02-29 00:00:00;Sunny;3.5;0;;
;2016-03-01 00:00:00;Light rain;5;3.8;;
;2016-03-02 00:00:00;Light rain shower;8;8.2;;
;2016-03-03 00:00:00;Patchy rain possible;7.5;1.3;;
;2016-03-04 00:00:00;Moderate rain;6;11;;
;2016-03-05 00:00:00;Light rain shower;4;12.4;;
;2016-03-06 00:00:00;Light rain shower;4;1.5;;
;2016-03-07 00:00:00;Patchy rain possible;4;0.7;;
;2016-03-08 00:00:00;Cloudy;4;0;;
;2016-03-09 00:00:00;Light rain shower;6;19.7;;
;2016-03-10 00:00:00;Overcast;5.5;0.1;;
;2016-03-11 00:00:00;Overcast;7;0;;
;2016-03-12 00:00:00;Partly cloudy;6.5;0;;
;2016-03-13 00:00:00;Cloudy;6;0;;
;2016-03-14 00:00:00;Cloudy;7;0.1;;
;2016-03-15 00:00:00;Sunny;7;0;;
;2016-03-16 00:00:00;Patchy rain possible;4.5;0.8;;
;2016-03-17 00:00:00;Partly cloudy;6.5;0;;
;2016-03-18 00:00:00;Sunny;8;0;;
;2016-03-19 00:00:00;Partly cloudy;7;0;;
;2016-03-20 00:00:00;Partly cloudy;7;0;;
;2016-03-21 00:00:00;Partly cloudy;6.5;0;;
;2016-03-22 00:00:00;Overcast;6.5;0.1;;
;2016-03-23 00:00:00;Sunny;8;0;;
;2016-03-24 00:00:00;Cloudy;7;0;;
;2016-03-25 00:00:00;Light rain shower;10.5;2;;
;2016-03-26 00:00:00;Patchy rain possible;12;2.7;;
;2016-03-27 00:00:00;Patchy rain possible;9.5;10;;
;2016-03-28 00:00:00;Moderate or heavy rain shower;10.5;15;;
